timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
4360.126777,-1.9015659955257291,-53.02154492905938,-54.3640897755611,4.543080939947771,42.54254254254255
4360.161569,-1.9015659955257291,-53.12664214398318,-55.86034912718205,4.543080939947771,42.54254254254255
4360.195628,-1.9015659955257291,-53.336836573830794,-58.97755610972569,4.438642297650148,42.342342342342334
4360.229021,-1.9015659955257291,-53.441933788754596,-63.21695760598504,4.438642297650148,42.342342342342334
4360.262417,-1.9015659955257291,-53.75722543352601,-69.57605985037407,4.438642297650148,42.342342342342334
4360.295811,-1.9015659955257291,-54.80819758276406,-77.0573566084788,4.543080939947771,41.34134134134132
4360.329207,-2.0134228187919376,-55.64897530215449,-83.29177057356608,5.065274151436029,40.54054054054055
4360.362604,-2.0134228187919376,-58.276405675249606,-87.65586034912718,5.065274151436029,39.53953953953956
4360.395997,-2.1252796420581603,-61.954808197582764,-88.2793017456359,5.16971279373368,37.93793793793793
4360.430075,-2.1252796420581603,-66.26379400945875,-89.15211970074813,4.6475195822454225,35.93593593593593
4360.463468,-2.1252796420581603,-70.99316868102994,-89.65087281795512,4.543080939947771,34.13413413413414
4360.497847,-2.1252796420581603,-76.03783499737257,-90.14962593516209,4.751958224543088,32.53253253253254
4360.531245,-2.1252796420581603,-81.3977929584866,-91.2718204488778,5.065274151436029,32.93293293293294
4360.564665,-2.1252796420581603,-87.07304256437205,-93.76558603491272,4.543080939947771,32.93293293293294
4360.598056,-2.1252796420581603,-92.9584866001051,-96.63341645885286,4.543080939947771,33.53353353353356
4360.63145,-2.1252796420581603,-98.84393063583815,-98.00498753117208,4.438642297650148,33.333333333333314
4360.666528,-2.1252796420581603,-100.0,-98.50374064837905,4.334203655352482,33.13313313313313
4360.69992,-2.1252796420581603,-100.0,-98.3790523690773,4.334203655352482,33.333333333333314
4360.733312,-2.1252796420581603,-100.0,-98.00498753117208,4.438642297650148,33.333333333333314
4360.766705,-2.1252796420581603,-100.0,-97.75561097256858,5.065274151436029,33.333333333333314
4360.800101,-2.1252796420581603,-99.7898055701524,-97.88029925187033,4.6475195822454225,33.333333333333314
4360.833693,-2.1252796420581603,-98.63373620599054,-98.00498753117208,4.438642297650148,33.333333333333314
4360.867935,-2.1252796420581603,-98.42354177614293,-98.00498753117208,4.438642297650148,33.333333333333314
4360.901332,-2.1252796420581603,-98.31844456121912,-97.88029925187033,4.438642297650148,33.333333333333314
