timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
4326.062314,-2.237136465324383,-52.390961639516554,-49.50124688279301,5.274151436031332,42.14214214214215
4326.095711,-2.237136465324383,-52.390961639516554,-49.87531172069826,5.274151436031332,41.54154154154156
4326.129525,-2.237136465324383,-52.496058854440356,-50.49875311720699,5.483028720626621,41.141141141141134
4326.162921,-2.237136465324383,-52.496058854440356,-51.49625935162095,5.691906005221938,41.141141141141134
4326.196318,-2.237136465324383,-52.496058854440356,-52.49376558603491,5.796344647519589,41.141141141141134
4326.230366,-2.237136465324383,-52.601156069364166,-53.61596009975062,5.796344647519589,41.141141141141134
4326.263766,-2.237136465324383,-52.81135049921177,-54.48877805486284,5.796344647519589,41.141141141141134
4326.297229,-2.237136465324383,-52.81135049921177,-55.236907730673316,5.796344647519589,41.141141141141134
4326.330638,-2.237136465324383,-52.601156069364166,-55.7356608478803,5.483028720626621,40.94094094094095
4326.364034,-2.237136465324383,-52.81135049921177,-55.86034912718205,5.16971279373368,40.94094094094095
4326.397434,-2.3489932885906057,-52.91644771413557,-55.98503740648379,5.16971279373368,40.94094094094095
4326.430873,-2.3489932885906057,-53.02154492905938,-55.98503740648379,5.065274151436029,40.94094094094095
4326.464804,-2.3489932885906057,-53.02154492905938,-55.98503740648379,5.065274151436029,40.94094094094095
4326.498197,-2.3489932885906057,-53.02154492905938,-55.98503740648379,5.065274151436029,40.94094094094095
4326.531945,-2.3489932885906057,-53.02154492905938,-56.10972568578554,5.065274151436029,40.94094094094095
4326.565341,-2.3489932885906057,-53.12664214398318,-56.10972568578554,5.065274151436029,40.94094094094095
4326.598741,-2.3489932885906057,-53.12664214398318,-56.10972568578554,5.065274151436029,40.94094094094095
4326.632141,-2.3489932885906057,-53.12664214398318,-56.10972568578554,5.065274151436029,40.94094094094095
4326.665538,-2.3489932885906057,-53.12664214398318,-56.10972568578554,5.065274151436029,40.94094094094095
4326.699485,-2.3489932885906057,-53.231739358906985,-56.10972568578554,5.065274151436029,40.94094094094095
4326.732889,-2.3489932885906057,-53.231739358906985,-56.10972568578554,5.065274151436029,40.94094094094095
4326.76669,-2.3489932885906057,-53.231739358906985,-56.10972568578554,5.065274151436029,40.94094094094095
4326.800088,-2.3489932885906057,-53.231739358906985,-56.10972568578554,5.065274151436029,41.141141141141134
4326.833487,-2.3489932885906057,-53.12664214398318,-56.10972568578554,5.065274151436029,40.94094094094095
4326.866887,-2.3489932885906057,-53.12664214398318,-56.10972568578554,5.065274151436029,40.94094094094095
4326.900283,-2.3489932885906057,-53.02154492905938,-56.10972568578554,5.065274151436029,40.94094094094095
4326.934203,-2.3489932885906057,-52.81135049921177,-56.10972568578554,4.960835509138377,40.94094094094095
4326.967598,-2.237136465324383,-52.81135049921177,-56.10972568578554,4.960835509138377,40.94094094094095
4327.001532,-2.237136465324383,-52.601156069364166,-56.10972568578554,4.960835509138377,40.94094094094095
4327.034939,-2.1252796420581603,-52.601156069364166,-56.10972568578554,4.960835509138377,41.54154154154156
4327.069482,-2.1252796420581603,-52.601156069364166,-55.98503740648379,4.85639686684074,41.74174174174175
4327.102882,-2.1252796420581603,-52.601156069364166,-55.86034912718205,4.751958224543088,41.74174174174175
4327.136283,-2.1252796420581603,-52.601156069364166,-55.86034912718205,4.543080939947771,41.74174174174175
4327.169768,-2.1252796420581603,-52.601156069364166,-55.86034912718205,3.3942558746736324,41.74174174174175
4327.203158,-2.1252796420581603,-52.601156069364166,-55.7356608478803,1.723237597911222,41.74174174174175
4327.236604,-2.1252796420581603,-52.601156069364166,-55.11221945137157,-0.46997389033943193,41.74174174174175
4327.272238,-2.0134228187919376,-52.601156069364166,-54.61346633416459,-3.080939947780678,41.74174174174175
4327.305635,-2.0134228187919376,-52.601156069364166,-54.239401496259354,-5.587467362924286,41.74174174174175
